Nama Karakter,MBTI,Umur,Tinggi (cm),Grup,Sub-Kelompok,Role / Kekuatan Utama,Kategori Tinggi,ID Karakter,HP,ATK,DEF,SPD,Crit Rate,MP,Win Rate,Potensi Damage,Faction,Total Stat,Role,Tanggal Lahir,Umur Akurat,Status Squad
Hiroshi Declan,ENFJ,22,163,Modern,The Diplomats,Warbrand Arsenal,Pendek,Hiroshi Declan [ENFJ],51.37,59.24,23.78,22.8,66.80%,29.33,50.30%,98.8123,Northern Tundra,187.691,Attacker,5/23/2002,22 Tahun,Tactician
Sakura Holloway,ESFJ,23,166,Fantasy,The Sentinels,Dominion Mark,Pendek,Sakura Holloway [ESFJ],117.91,80.94,19.85,10.6,48.12%,172.99,61.02%,119.8883,Northern Tundra,403.3814,Support,9/28/2001,23 Tahun,Brawler
Rin Weston,ISTJ,22,183,Modern,The Sentinels,Dominion Mark,Tinggi,Rin Weston [ISTJ],29.55,54.09,14.88,19.17,88.70%,185.59,43.39%,102.0678,Northern Tundra,304.6009,Balanced,11/26/2002,22 Tahun,Brawler
Cael Blackwood,INTP,21,165,Fantasy,The Analysts,Verdant Wrath / Forest Herbalist,Pendek,Cael Blackwood [INTP],32.85,40.7,6.8,38.52,33.87%,394.14,75.28%,54.4851,Western Citadel,514.1015,Attacker,4/13/2003,21 Tahun,Elite Spy
Zara Kobayashi,ENFP,22,169,Modern,The Diplomats,Guillotine Line,Normal,Zara Kobayashi [ENFP],112.45,6.66,58.83,50.78,24.17%,341.24,83.24%,8.2697,Northern Tundra,571.0341,Balanced,3/22/2002,22 Tahun,Tactician
Sage Blackwood,ENTJ,23,172,Modern,The Analysts,Ruin Pulse Engine,Normal,Sage Blackwood [ENTJ],93.29,42.5,58.78,52.76,28.38%,373.95,72.23%,54.5615,Eastern Sunrise,622.2861,Attacker,9/3/2001,23 Tahun,Elite Spy
Lux Aurelius,ESTJ,22,174,Modern,The Sentinels,Fracture Surge,Normal,Lux Aurelius [ESTJ],69.28,99.85,99.61,8.25,33.87%,86.05,82.00%,133.6692,Northern Tundra,364.1987,Balanced,10/10/2002,22 Tahun,Tanker
Marcus Farell,ISFP,22,177,Modern,The Explorers,Covenant Bond / Healer & Diplomat,Tinggi,Marcus Farell [ISFP],139.83,11.26,87.93,27.18,76.82%,356.0,47.00%,19.9099,Southern Isles,623.4382,Support,9/12/2002,22 Tahun,Squad Inti
Asher Coldwater,ISFJ,21,176,Fantasy,The Sentinels,Guillotine Line,Tinggi,Asher Coldwater [ISFJ],14.75,42.93,28.39,1.35,67.34%,308.68,51.79%,71.8391,Western Citadel,397.2913,Support,9/28/2003,21 Tahun,Brawler
Aldric Masaki,ENTP,23,163,Modern,The Analysts,Ruin Pulse Engine,Pendek,Aldric Masaki [ENTP],125.35,58.67,15.66,13.62,90.91%,124.0,75.83%,112.0069,Northern Tundra,338.9674,Attacker,6/4/2001,23 Tahun,Squad Inti
Lux Tanaka,ESFJ,21,171,Modern,The Sentinels,Dominion Mark,Normal,Lux Tanaka [ESFJ],129.83,97.64,81.27,88.26,76.29%,10.89,54.95%,172.1296,Western Citadel,409.2024,Support,4/13/2003,21 Tahun,Ranger
Ren Sato,ESFJ,23,185,Fantasy,The Sentinels,Ruin Pulse Engine,Tinggi,Ren Sato [ESFJ],128.93,23.02,81.84,46.57,81.58%,122.77,50.24%,41.7997,Northern Tundra,404.4482,Support,8/10/2001,23 Tahun,Squad Inti
Owen Swiftwind,INFP,22,162,Fantasy,The Diplomats,Dimensional Phase Shifting,Pendek,Owen Swiftwind [INFP],102.25,84.52,33.78,3.73,33.51%,350.94,66.13%,112.8427,Southern Isles,576.2164,Balanced,7/26/2002,22 Tahun,Tactician
Nolan Hargrove,ENTP,21,173,Modern,The Analysts,Emotional Vectoring,Normal,Nolan Hargrove [ENTP],135.03,19.82,5.39,44.17,82.59%,208.45,70.91%,36.1893,Eastern Sunrise,414.395,Attacker,11/14/2003,21 Tahun,Elite Spy
Lux Calloway,ENTJ,22,179,Modern,The Analysts,Covenant Bond / Healer & Diplomat,Tinggi,Lux Calloway [ENTJ],76.56,67.02,33.29,70.02,27.27%,222.21,69.92%,85.2964,Western Citadel,470.0719,Support,10/5/2002,22 Tahun,Brawler
Isadora Aurelius,ESTP,24,172,Fantasy,The Explorers,Runic Deconstruction / Scholar,Normal,Isadora Aurelius [ESTP],32.32,78.79,61.06,32.9,70.81%,177.27,63.00%,134.5812,Eastern Sunrise,383.6781,Support,1/1/2001,24 Tahun,Tactician
Shaela Calloway,ISFP,22,162,Fantasy,The Explorers,Heartstrike Overload,Pendek,Shaela Calloway [ISFP],121.18,15.59,5.58,98.41,79.16%,244.9,60.49%,27.931,Eastern Sunrise,487.0565,Support,4/27/2002,22 Tahun,Brawler
Mirel Weston,INFP,23,167,Modern,The Diplomats,Absolute Command / General,Pendek,Mirel Weston [INFP],116.98,22.67,80.61,69.9,60.17%,186.36,81.29%,36.3105,Northern Tundra,477.9346,Attacker,10/30/2001,23 Tahun,Squad Inti
Lux Hargrove,ESFP,21,184,Fantasy,The Explorers,Transmutation Aura / Alchemist,Tinggi,Lux Hargrove [ESFP],134.68,74.62,47.99,26.66,67.39%,99.65,74.46%,124.9064,Western Citadel,385.0185,Support,6/26/2003,21 Tahun,Squad Inti
Hiroshi Sol,ISTP,22,182,Modern,The Explorers,Primal Sovereign / Engineer,Tinggi,Hiroshi Sol [ISTP],51.04,89.41,8.98,15.93,23.75%,153.83,49.63%,110.6449,Western Citadel,319.9238,Attacker,8/9/2002,22 Tahun,Tanker
Shiho Nox,ESFP,21,166,Fantasy,The Explorers,Gravity Rend,Pendek,Shiho Nox [ESFP],128.65,76.79,38.66,1.58,77.81%,141.35,78.41%,136.5403,Western Citadel,388.5922,Support,5/11/2003,21 Tahun,Brawler
Torin Yoshida,ESFJ,21,168,Fantasy,The Sentinels,Gravity Rend,Normal,Torin Yoshida [ESFJ],58.94,67.22,80.02,72.69,92.76%,336.36,84.13%,129.5733,Northern Tundra,616.9989,Attacker,6/12/2003,21 Tahun,Reguler
Elara Langley,INTP,21,164,Modern,The Analysts,Guillotine Line,Pendek,Elara Langley [INTP],39.76,33.41,46.02,34.41,35.04%,351.98,82.80%,45.1169,Western Citadel,506.7584,Attacker,8/4/2003,21 Tahun,Ranger
Caius Wiley,ENTJ,23,183,Fantasy,The Analysts,Heartstrike Overload,Tinggi,Caius Wiley [ENTJ],97.87,78.34,65.52,75.67,27.94%,379.9,40.92%,100.2282,Eastern Sunrise,697.9886,Balanced,4/17/2001,23 Tahun,Squad Inti
Lux Kim,ENFP,22,178,Fantasy,The Diplomats,Soulfire Manifestation,Tinggi,Lux Kim [ENFP],115.27,17.61,61.12,75.04,83.74%,46.7,83.41%,32.3566,Northern Tundra,317.4115,Support,3/23/2002,22 Tahun,Tactician
Rowan Sinclair,ISFP,22,172,Modern,The Explorers,Dominion Mark,Normal,Rowan Sinclair [ISFP],16.18,77.48,85.18,60.44,98.55%,49.3,75.22%,153.8365,Southern Isles,290.3177,Support,2/11/2002,22 Tahun,Elite Spy
Taro Flint,ENFJ,22,180,Modern,The Diplomats,Resonant Aria / Performer,Tinggi,Taro Flint [ENFJ],123.53,11.45,96.12,63.92,73.66%,331.65,59.60%,19.8841,Southern Isles,628.0026,Support,11/30/2002,22 Tahun,Ranger
Tomoe Mirren,ENFP,22,183,Fantasy,The Diplomats,Dominion Mark,Tinggi,Tomoe Mirren [ENFP],124.78,9.58,88.28,25.14,64.93%,186.42,57.05%,15.8003,Northern Tundra,435.4198,Attacker,7/4/2002,22 Tahun,Ranger
Seraphina Holloway,ISFJ,22,166,Fantasy,The Sentinels,Adaptive Mutation,Pendek,Seraphina Holloway [ISFJ],42.67,60.02,88.13,56.02,27.20%,207.13,50.86%,76.3454,Western Citadel,454.7506,Attacker,12/28/2002,22 Tahun,Reguler
Aster Velmont,ESFJ,21,180,Fantasy,The Sentinels,Gravity Rend,Tinggi,Aster Velmont [ESFJ],14.86,22.94,69.49,31.31,52.59%,233.04,63.89%,35.0041,Western Citadel,372.8048,Support,10/3/2003,21 Tahun,Reguler
Isla Ashford,ISFJ,22,168,Fantasy,The Sentinels,Heartstrike Overload,Normal,Isla Ashford [ISFJ],18.98,20.07,12.84,54.05,26.66%,305.11,49.74%,25.4207,Western Citadel,411.814,Attacker,9/20/2002,22 Tahun,Brawler
Seren Kobayashi,ISFP,22,169,Fantasy,The Explorers,Elemental Mastery,Normal,Seren Kobayashi [ISFP],46.04,71.09,13.53,5.51,36.29%,22.76,82.48%,96.8886,Western Citadel,160.1177,Balanced,4/11/2002,22 Tahun,Ranger
Rowan Emberveil,INTP,21,175,Fantasy,The Analysts,Adaptive Mutation,Tinggi,Rowan Emberveil [INTP],28.47,6.09,94.17,48.3,46.06%,329.02,43.33%,8.8951,Northern Tundra,506.9439,Balanced,9/8/2003,21 Tahun,Squad Inti
Elara Stormbright,ISFP,21,163,Modern,The Explorers,Emotional Vectoring,Pendek,Elara Stormbright [ISFP],68.13,44.83,86.16,99.01,65.89%,122.85,67.43%,74.3685,Northern Tundra,422.3132,Balanced,5/3/2003,21 Tahun,Brawler
Yuna Vargas,INFJ,22,165,Modern,The Diplomats,Warbrand Arsenal,Pendek,Yuna Vargas [INFJ],24.32,41.44,69.25,47.52,35.93%,14.02,52.72%,56.3294,Western Citadel,197.4365,Balanced,5/7/2002,22 Tahun,Brawler
Yuna Watanabe,ESFJ,23,173,Modern,The Sentinels,Zone of Order / City Watch Captain,Normal,Yuna Watanabe [ESFJ],136.35,82.84,8.07,17.43,77.41%,123.74,65.61%,146.9664,Southern Isles,369.8602,Attacker,8/24/2001,23 Tahun,Tactician
Aster Aurelius,ESFP,21,182,Fantasy,The Explorers,Memory Palace / Librarian Assistant,Tinggi,Aster Aurelius [ESFP],66.23,60.21,89.05,73.72,12.33%,241.88,50.30%,67.6339,Northern Tundra,531.7163,Support,4/5/2003,21 Tahun,Ranger
Rowan Dunmore,ISTP,23,184,Fantasy,The Explorers,Transmutation Aura / Alchemist,Tinggi,Rowan Dunmore [ISTP],137.49,18.97,58.95,63.84,18.21%,197.2,55.66%,22.4244,Southern Isles,477.1887,Attacker,12/25/2001,23 Tahun,Brawler
Marcus Calloway,ISTJ,21,173,Fantasy,The Sentinels,Dimensional Phase Shifting,Normal,Marcus Calloway [ISTJ],122.22,55.46,46.03,32.14,97.32%,129.99,58.19%,109.4337,Northern Tundra,387.3951,Support,10/12/2003,21 Tahun,Ranger
Kaito Ashvale,ESFP,21,166,Fantasy,The Explorers,Memory Palace / Librarian Assistant,Pendek,Kaito Ashvale [ESFP],94.19,76.24,21.15,55.37,49.43%,371.14,71.42%,113.9254,Northern Tundra,619.2985,Balanced,11/28/2003,21 Tahun,Brawler
Marcus Vance,ESFJ,23,177,Fantasy,The Sentinels,Probability Flux / Treasure Hunter,Tinggi,Marcus Vance [ESFJ],34.48,84.3,12.23,94.76,23.86%,259.44,81.97%,104.414,Southern Isles,486.2683,Support,1/29/2001,23 Tahun,Brawler
Shiho Crestwood,ISTP,22,175,Fantasy,The Explorers,Zone of Order / City Watch Captain,Tinggi,Shiho Crestwood [ISTP],58.15,92.26,51.32,88.05,34.86%,345.75,75.55%,124.4218,Western Citadel,636.6341,Attacker,5/15/2002,22 Tahun,Ranger
Aiko Emberveil,ISTP,22,183,Fantasy,The Explorers,Zone of Order / City Watch Captain,Tinggi,Aiko Emberveil [ISTP],67.54,48.95,33.91,76.52,93.96%,151.51,79.13%,94.9434,Eastern Sunrise,380.1609,Support,9/4/2002,22 Tahun,Elite Spy
Kaito Dunmore,ESFJ,21,170,Fantasy,The Sentinels,Emotional Vectoring,Normal,Kaito Dunmore [ESFJ],148.27,79.45,65.55,16.06,21.36%,385.96,83.44%,96.4205,Southern Isles,696.338,Balanced,8/27/2003,21 Tahun,Ranger
Seren Ashford,ESFP,23,160,Fantasy,The Explorers,Zone of Order / City Watch Captain,Pendek,Seren Ashford [ESFP],12.15,78.37,27.24,62.7,17.23%,159.6,54.79%,91.8732,Western Citadel,340.7802,Attacker,10/23/2001,23 Tahun,Brawler
Ansel Aikawa,ENFP,23,179,Modern,The Diplomats,Runic Deconstruction / Scholar,Tinggi,Ansel Aikawa [ENFP],149.62,74.93,43.96,10.75,88.53%,253.87,59.97%,141.2655,Southern Isles,534.615,Balanced,5/21/2001,23 Tahun,Tactician
Rin Moonshade,ISFJ,21,171,Fantasy,The Sentinels,Zone of Order / City Watch Captain,Normal,Rin Moonshade [ISFJ],37.39,41.79,68.5,18.83,64.85%,70.85,57.21%,68.8908,Eastern Sunrise,238.5806,Attacker,2/7/2003,21 Tahun,Reguler
Piper Strider,ESTJ,22,180,Fantasy,The Sentinels,Soulfire Manifestation,Tinggi,Piper Strider [ESTJ],100.36,89.99,47.06,29.48,16.65%,219.09,82.54%,104.9733,Southern Isles,486.9719,Support,6/5/2002,22 Tahun,Elite Spy
Naoki Aurelius,ISTP,21,166,Fantasy,The Explorers,Absolute Command / General,Pendek,Naoki Aurelius [ISTP],36.34,57.62,57.91,99.28,98.02%,118.8,69.62%,114.0991,Southern Isles,371.6264,Balanced,2/27/2003,21 Tahun,Reguler
Theron Bramble,INTJ,22,169,Fantasy,The Analysts,Heartstrike Overload,Normal,Theron Bramble [INTJ],95.86,62.47,68.1,72.37,85.45%,264.01,68.27%,115.8506,Northern Tundra,564.3472,Attacker,4/17/2002,22 Tahun,Ranger
Yuki Kline,ESFP,23,183,Modern,The Explorers,Runic Deconstruction / Scholar,Tinggi,Yuki Kline [ESFP],49.68,42.13,20.88,78.86,42.93%,350.71,62.58%,60.2164,Southern Isles,543.3151,Balanced,9/27/2001,23 Tahun,Tanker
Airi Fitzgerald,ENFP,23,185,Fantasy,The Diplomats,Warbrand Arsenal,Tinggi,Airi Fitzgerald [ENFP],21.97,96.68,86.15,72.7,97.05%,392.0,76.21%,190.5079,Southern Isles,671.2326,Balanced,8/24/2001,23 Tahun,Ranger
Riku Coldwater,INFP,23,177,Fantasy,The Diplomats,Sensory Collapse Domain,Tinggi,Riku Coldwater [INFP],101.25,67.56,58.87,82.42,19.75%,376.18,50.52%,80.9031,Northern Tundra,686.9827,Support,9/11/2001,23 Tahun,Reguler
Isadora Yoshida,ISFJ,23,180,Fantasy,The Sentinels,Covenant Bond / Healer & Diplomat,Tinggi,Isadora Yoshida [ISFJ],97.74,12.55,5.49,4.68,20.45%,398.38,50.57%,15.1165,Eastern Sunrise,519.5502,Attacker,5/10/2001,23 Tahun,Elite Spy
Lux Crowe,ENFJ,23,178,Fantasy,The Diplomats,Absolute Command / General,Tinggi,Lux Crowe [ENFJ],125.22,61.95,93.97,28.69,29.55%,276.42,60.01%,80.2562,Eastern Sunrise,587.1456,Attacker,11/13/2001,23 Tahun,Tactician
Ansel Whitmore,ENFJ,21,161,Fantasy,The Diplomats,Essence Severance,Pendek,Ansel Whitmore [ENFJ],145.26,94.95,82.59,10.08,67.55%,85.63,83.70%,159.0887,Northern Tundra,420.0225,Attacker,3/27/2003,21 Tahun,Squad Inti
Sylvie Ito,ESTJ,22,162,Modern,The Sentinels,Heartstrike Overload,Pendek,Sylvie Ito [ESTJ],49.96,15.61,90.15,1.28,23.02%,343.5,45.85%,19.2034,Southern Isles,501.1887,Balanced,3/1/2002,22 Tahun,Tactician
Dara Masaki,INTP,22,171,Fantasy,The Analysts,Gravity Rend,Normal,Dara Masaki [INTP],26.96,6.19,74.43,53.08,52.86%,298.52,75.01%,9.462,Northern Tundra,460.4587,Attacker,5/3/2002,22 Tahun,Reguler
Isadora Dunmore,ESFJ,21,183,Fantasy,The Sentinels,Momentum Surge / Knight-Errant,Tinggi,Isadora Dunmore [ESFJ],96.86,4.08,99.86,84.88,19.72%,171.08,72.06%,4.8846,Western Citadel,457.6778,Balanced,12/4/2003,21 Tahun,Tactician
Theron Nakamura,ISFJ,23,162,Fantasy,The Sentinels,Archive of Blades / Guild Archivist,Pendek,Theron Nakamura [ISFJ],57.75,60.14,30.19,51.05,81.38%,172.65,45.15%,109.0819,Eastern Sunrise,373.0453,Attacker,9/16/2001,23 Tahun,Elite Spy
Kaito Fitzgerald,ESFJ,21,174,Fantasy,The Sentinels,Absolute Command / General,Normal,Kaito Fitzgerald [ESFJ],47.57,31.94,26.23,95.41,52.68%,275.04,44.11%,48.766,Northern Tundra,477.1579,Balanced,3/28/2003,21 Tahun,Elite Spy
Nora Muller,ISTJ,23,177,Fantasy,The Sentinels,Fate Weave / Royal Advisor,Tinggi,Nora Muller [ISTJ],62.21,87.49,94.17,42.87,14.63%,366.42,52.94%,100.2898,Southern Isles,653.8357,Attacker,5/3/2001,23 Tahun,Tactician
Zara Crestwood,INFJ,23,167,Fantasy,The Diplomats,Sensory Collapse Domain,Pendek,Zara Crestwood [INFJ],18.12,28.58,23.39,43.48,79.07%,224.83,67.98%,51.1782,Northern Tundra,339.8705,Support,8/10/2001,23 Tahun,Brawler
Hana Yamamoto,ISTP,22,168,Fantasy,The Explorers,Combat Escalation Law,Normal,Hana Yamamoto [ISTP],1.91,87.12,57.07,40.68,66.99%,57.61,41.38%,145.4817,Eastern Sunrise,245.4737,Attacker,9/25/2002,22 Tahun,Elite Spy
Clara Sato,ESFP,22,171,Fantasy,The Explorers,Probability Flux / Treasure Hunter,Normal,Clara Sato [ESFP],132.62,16.4,75.69,5.93,49.88%,33.55,59.08%,24.5803,Western Citadel,265.2796,Attacker,10/1/2002,22 Tahun,Tanker
Shaela Kim,INFJ,21,171,Modern,The Diplomats,Runic Deconstruction / Scholar,Normal,Shaela Kim [INFJ],102.05,59.72,53.17,31.53,98.60%,88.99,42.47%,118.6039,Eastern Sunrise,336.8707,Attacker,5/31/2003,21 Tahun,Squad Inti
Haruto Moonshade,ESTJ,23,170,Modern,The Sentinels,Memory Palace / Librarian Assistant,Normal,Haruto Moonshade [ESTJ],112.31,18.39,38.64,70.66,85.00%,200.6,76.28%,34.0215,Northern Tundra,442.2128,Attacker,9/3/2001,23 Tahun,Ranger
Fumiko Wiley,INTJ,23,174,Fantasy,The Analysts,Living Canvas / Cartographer,Normal,Fumiko Wiley [INTJ],86.44,71.24,42.35,12.4,39.23%,9.32,76.06%,99.1875,Western Citadel,222.9029,Support,6/9/2001,23 Tahun,Tanker
Fumiko Tanaka,ENTJ,21,167,Fantasy,The Analysts,Probability Flux / Treasure Hunter,Pendek,Fumiko Tanaka [ENTJ],59.97,31.72,34.61,33.97,55.94%,68.08,45.13%,49.4642,Eastern Sunrise,229.3607,Attacker,6/12/2003,21 Tahun,Tanker
Takeshi Tanaka,ESTJ,22,164,Modern,The Sentinels,Elemental Mastery,Pendek,Takeshi Tanaka [ESTJ],90.76,76.26,65.9,18.54,54.47%,309.37,73.95%,117.7988,Western Citadel,562.1142,Support,6/9/2002,22 Tahun,Reguler
Zephyr Hargrove,ISFJ,21,164,Modern,The Sentinels,Verdant Wrath / Forest Herbalist,Pendek,Zephyr Hargrove [ISFJ],66.89,30.98,28.19,6.56,37.94%,203.43,60.34%,42.7338,Northern Tundra,337.0328,Attacker,6/20/2003,21 Tahun,Ranger
Nami Hayashi,ISFP,21,179,Fantasy,The Explorers,Momentum Surge / Knight-Errant,Tinggi,Nami Hayashi [ISFP],87.47,95.47,74.15,5.06,61.45%,363.71,48.47%,154.1363,Western Citadel,626.9592,Support,11/5/2003,21 Tahun,Squad Inti
Reika Tanaka,INTJ,22,185,Modern,The Analysts,Elemental Mastery,Tinggi,Reika Tanaka [INTJ],6.83,71.05,99.11,52.88,42.75%,244.31,81.31%,101.4239,Western Citadel,475.4206,Attacker,12/5/2002,22 Tahun,Ranger
Sage Ashvale,ISFJ,22,185,Modern,The Sentinels,Adaptive Mutation,Tinggi,Sage Ashvale [ISFJ],15.08,68.16,29.13,72.65,91.57%,262.97,79.30%,130.5741,Southern Isles,449.6987,Balanced,11/17/2002,22 Tahun,Reguler
Nolan Vance,ESTJ,21,180,Modern,The Sentinels,Probability Flux / Treasure Hunter,Tinggi,Nolan Vance [ESTJ],47.13,38.29,79.37,81.51,84.61%,268.38,73.24%,70.6872,Northern Tundra,516.2585,Support,3/14/2003,21 Tahun,Brawler
Shaela Kline,ENTP,21,160,Fantasy,The Analysts,Elemental Mastery,Pendek,Shaela Kline [ENTP],142.72,34.83,76.85,20.01,23.95%,399.99,53.31%,43.1718,Northern Tundra,675.1726,Support,1/13/2003,21 Tahun,Ranger
Emery Fitzgerald,INTJ,23,184,Fantasy,The Analysts,Zone of Order / City Watch Captain,Tinggi,Emery Fitzgerald [INTJ],25.17,83.3,77.34,81.1,49.39%,67.05,58.49%,124.4419,Eastern Sunrise,335.0388,Attacker,9/26/2001,23 Tahun,Reguler
Reika Saito,ISFP,22,177,Fantasy,The Explorers,Verdant Wrath / Forest Herbalist,Tinggi,Reika Saito [ISFP],135.69,20.21,68.15,57.47,79.25%,176.8,75.02%,36.2264,Western Citadel,459.8627,Balanced,5/5/2002,22 Tahun,Ranger
Theron Silva,INFJ,23,168,Fantasy,The Diplomats,Sensory Collapse Domain,Normal,Theron Silva [INFJ],83.63,11.16,84.74,85.27,78.68%,114.74,52.28%,19.9407,Eastern Sunrise,380.8496,Attacker,4/17/2001,23 Tahun,Tactician
Reika Montgomery,ESFJ,21,160,Modern,The Sentinels,Dimensional Phase Shifting,Pendek,Reika Montgomery [ESFJ],75.8,24.34,99.46,38.12,93.77%,12.25,77.76%,47.1636,Southern Isles,251.6853,Balanced,4/30/2003,21 Tahun,Squad Inti
Kotaro Velmont,INTJ,23,182,Fantasy,The Analysts,Transmutation Aura / Alchemist,Tinggi,Kotaro Velmont [INTJ],92.69,90.68,2.88,22.35,94.62%,60.66,67.40%,176.4814,Western Citadel,270.8802,Balanced,10/12/2001,23 Tahun,Ranger
Takeshi Aurelius,ISFP,23,163,Modern,The Explorers,Resonant Aria / Performer,Pendek,Takeshi Aurelius [ISFP],96.2,62.66,7.22,83.83,58.24%,200.43,68.44%,99.1532,Eastern Sunrise,451.6068,Support,4/8/2001,23 Tahun,Squad Inti
Akira Lopez,ISFP,22,179,Modern,The Explorers,Resonant Aria / Performer,Tinggi,Akira Lopez [ISFP],28.91,67.15,52.82,36.7,58.97%,381.41,75.39%,106.7484,Northern Tundra,568.3336,Attacker,12/24/2002,22 Tahun,Ranger
Kenji Drayton,ENFP,22,171,Modern,The Diplomats,Combat Escalation Law,Normal,Kenji Drayton [ENFP],118.49,35.14,73.56,63.2,76.17%,308.83,54.96%,61.9061,Northern Tundra,600.5313,Attacker,6/4/2002,22 Tahun,Reguler
Cassian Suzuki,ISFJ,21,184,Fantasy,The Sentinels,Elemental Mastery,Tinggi,Cassian Suzuki [ISFJ],121.91,7.25,77.84,46.31,13.94%,118.08,48.98%,8.2607,Northern Tundra,372.0192,Attacker,8/10/2003,21 Tahun,Tanker
Ansel Velmont,INFP,23,168,Modern,The Diplomats,Runic Deconstruction / Scholar,Normal,Ansel Velmont [INFP],54.19,78.3,86.71,33.86,43.12%,50.67,80.03%,112.063,Western Citadel,304.9615,Attacker,3/16/2001,23 Tahun,Tanker
Mirel Bramble,ESTP,21,171,Fantasy,The Explorers,Probability Flux / Treasure Hunter,Normal,Mirel Bramble [ESTP],109.34,8.81,60.64,82.41,38.91%,218.64,43.60%,12.238,Southern Isles,480.6651,Attacker,11/30/2003,21 Tahun,Elite Spy
Aria Farell,ENTP,21,171,Modern,The Analysts,Combat Escalation Law,Normal,Aria Farell [ENTP],92.61,44.06,64.31,79.36,70.41%,23.89,58.28%,75.0826,Eastern Sunrise,305.5169,Balanced,7/5/2003,21 Tahun,Squad Inti
Yuki Muller,ESFP,22,162,Fantasy,The Explorers,Sensory Collapse Domain,Pendek,Yuki Muller [ESFP],58.05,57.16,60.9,68.23,43.48%,379.58,74.34%,82.0132,Eastern Sunrise,625.0982,Support,4/29/2002,22 Tahun,Tanker
Ethan Swiftwind,INFP,23,167,Modern,The Diplomats,Elemental Mastery,Pendek,Ethan Swiftwind [INFP],75.36,39.31,56.61,26.92,50.16%,104.86,84.84%,59.0279,Southern Isles,304.41,Support,8/21/2001,23 Tahun,Elite Spy
Lyra Silva,INFJ,21,162,Modern,The Diplomats,Transmutation Aura / Alchemist,Pendek,Lyra Silva [INFJ],149.59,81.24,96.79,98.67,73.86%,267.47,64.75%,141.2439,Southern Isles,695.1461,Attacker,7/15/2003,21 Tahun,Ranger
Quinn Suzuki,ESTP,21,185,Modern,The Explorers,Fate Weave / Royal Advisor,Tinggi,Quinn Suzuki [ESTP],147.78,79.41,24.44,49.91,61.50%,145.0,61.03%,128.2472,Eastern Sunrise,447.7653,Support,1/11/2003,21 Tahun,Tactician
Hina Thornton,ENTJ,21,182,Fantasy,The Analysts,Resonant Aria / Performer,Tinggi,Hina Thornton [ENTJ],123.68,8.3,97.27,64.59,71.21%,180.54,55.50%,14.2104,Eastern Sunrise,475.6471,Balanced,9/8/2003,21 Tahun,Elite Spy
