Nama Karakter,MBTI,Umur,Tinggi (cm),Grup,Sub-Kelompok,Role / Kekuatan Utama,Kategori Tinggi,ID Karakter,HP,ATK,DEF,SPD,Crit Rate,MP,Win Rate,Potensi Damage,Faction,Total Stat,Role,Tanggal Lahir,Umur Akurat,Status Squad
Taro Swiftwind,INFJ,21,174,Fantasy,The Diplomats,Gravity Rend,Normal,Taro Swiftwind [INFJ],51.43,59.94,69.96,5.71,21.67%,34.36,58.45%,72.929,Northern Tundra,222.2012,Balanced,10/1/2003,21 Tahun,Ranger
Celeste Ito,ISFJ,23,181,Modern,The Sentinels,Resonant Aria / Performer,Tinggi,Celeste Ito [ISFJ],2.9,43.54,93.92,29.4,83.71%,335.32,71.08%,79.9873,Northern Tundra,506.6279,Attacker,8/7/2001,23 Tahun,Ranger
Corin Crowe,ESTP,23,172,Modern,The Explorers,Warbrand Arsenal,Normal,Corin Crowe [ESTP],12.58,94.91,31.09,85.04,77.76%,291.16,72.74%,168.712,Southern Isles,516.285,Attacker,7/17/2001,23 Tahun,Elite Spy
Airi Crestwood,ESTJ,21,166,Modern,The Sentinels,Heartstrike Overload,Pendek,Airi Crestwood [ESTJ],46.69,45.34,50.51,63.82,23.41%,184.32,54.81%,55.9541,Southern Isles,391.4622,Support,10/25/2003,21 Tahun,Reguler
Piper Ravenswood,ENTJ,23,173,Fantasy,The Analysts,Absolute Command / General,Normal,Piper Ravenswood [ENTJ],86.36,34.44,78.76,40.56,10.95%,317.58,43.98%,38.2112,Northern Tundra,558.2493,Balanced,10/24/2001,23 Tahun,Squad Inti
Briar Blackwood,ENTJ,22,169,Modern,The Analysts,Archive of Blades / Guild Archivist,Normal,Briar Blackwood [ENTJ],18.07,73.41,71.1,18.15,67.70%,222.43,44.00%,123.1086,Northern Tundra,404.277,Balanced,1/28/2002,22 Tahun,Tanker
Owen Flint,INFP,21,161,Modern,The Diplomats,Damage Reflection Lattice,Pendek,Owen Flint [INFP],97.66,25.76,54.68,35.59,13.87%,139.89,54.63%,29.3329,Western Citadel,354.265,Support,6/27/2003,21 Tahun,Elite Spy
Theron Montgomery,ESTP,23,177,Modern,The Explorers,Warbrand Arsenal,Tinggi,Theron Montgomery [ESTP],109.54,84.65,53.86,3.03,40.96%,242.75,45.77%,119.3226,Southern Isles,494.6973,Support,12/28/2001,23 Tahun,Reguler
Felix Suzuki,ISFP,22,177,Modern,The Explorers,Ruin Pulse Engine,Tinggi,Felix Suzuki [ISFP],104.26,77.54,10.95,55.37,91.73%,14.14,59.06%,148.6674,Eastern Sunrise,263.7679,Support,11/5/2002,22 Tahun,Tactician
Ryo Langley,ENFP,21,177,Modern,The Diplomats,Soulfire Manifestation,Tinggi,Ryo Langley [ENFP],56.52,64.51,92.3,26.64,98.36%,367.48,55.83%,127.962,Northern Tundra,608.9919,Balanced,2/17/2003,21 Tahun,Tanker
Ethan Blackwood,INFP,23,178,Modern,The Diplomats,Runic Deconstruction / Scholar,Tinggi,Ethan Blackwood [INFP],91.06,97.69,99.4,28.34,22.14%,358.16,79.91%,119.3186,Northern Tundra,675.6705,Support,9/12/2001,23 Tahun,Reguler
Nova Stormbright,ISTP,21,173,Modern,The Explorers,Verdant Wrath / Forest Herbalist,Normal,Nova Stormbright [ISTP],83.31,27.25,43.99,39.01,41.11%,335.21,80.33%,38.4525,Northern Tundra,529.9844,Attacker,12/9/2003,21 Tahun,Tanker
Briar Flint,ESFJ,23,161,Modern,The Sentinels,Warbrand Arsenal,Pendek,Briar Flint [ESFJ],68.61,79.41,92.41,56.59,67.87%,52.46,84.64%,133.3056,Northern Tundra,351.0051,Balanced,9/17/2001,23 Tahun,Brawler
Reika Watanabe,INTP,21,180,Fantasy,The Analysts,Elemental Mastery,Tinggi,Reika Watanabe [INTP],114.54,50.17,72.11,22.45,29.82%,18.82,84.34%,65.1307,Eastern Sunrise,279.2316,Support,12/11/2003,21 Tahun,Elite Spy
Theron Wiley,ISFP,23,184,Modern,The Explorers,Runic Deconstruction / Scholar,Tinggi,Theron Wiley [ISFP],45.94,62.89,68.97,57.39,94.44%,339.53,62.42%,122.2833,Southern Isles,576.2886,Support,3/8/2001,23 Tahun,Squad Inti
Owen Thorne,INTJ,22,171,Fantasy,The Analysts,Covenant Bond / Healer & Diplomat,Normal,Owen Thorne [INTJ],100.28,95.66,27.13,51.73,17.14%,191.97,71.82%,112.0561,Western Citadel,467.6596,Balanced,2/16/2002,22 Tahun,Reguler
Talion Funai,ESTP,22,182,Fantasy,The Explorers,Archive of Blades / Guild Archivist,Tinggi,Talion Funai [ESTP],35.54,90.52,87.83,71.5,57.57%,8.1,50.01%,142.6324,Western Citadel,294.5658,Attacker,5/28/2002,22 Tahun,Elite Spy
Aria Lopez,ESTP,21,164,Modern,The Explorers,Dimensional Phase Shifting,Pendek,Aria Lopez [ESTP],70.23,73.85,48.65,32.53,39.50%,253.01,46.35%,103.0207,Eastern Sunrise,479.1285,Attacker,8/8/2003,21 Tahun,Squad Inti
Aster Thornton,ISTJ,21,170,Fantasy,The Sentinels,Triage Field / Field Medic,Normal,Aster Thornton [ISTJ],80.26,33.52,22.34,7.37,66.58%,90.31,51.13%,55.8376,Eastern Sunrise,234.9771,Support,5/18/2003,21 Tahun,Elite Spy
Clara Vargas,ESFJ,23,165,Modern,The Sentinels,Living Canvas / Cartographer,Pendek,Clara Vargas [ESFJ],108.99,9.53,47.6,22.31,49.39%,390.39,62.75%,14.2369,Western Citadel,579.9414,Attacker,5/2/2001,23 Tahun,Tanker
Blaine Nakamura,ESTP,21,175,Fantasy,The Explorers,Transmutation Aura / Alchemist,Tinggi,Blaine Nakamura [ESTP],103.97,14.45,48.86,44.95,71.80%,74.13,61.92%,24.8251,Western Citadel,287.6972,Balanced,2/6/2003,21 Tahun,Elite Spy
Sage Ashford,INTJ,23,166,Modern,The Analysts,Living Canvas / Cartographer,Pendek,Sage Ashford [INTJ],52.47,2.15,44.16,94.71,75.62%,331.51,45.69%,3.7758,Northern Tundra,526.2131,Balanced,9/6/2001,23 Tahun,Squad Inti
Finn Yoshida,INFJ,22,184,Modern,The Diplomats,Damage Reflection Lattice,Tinggi,Finn Yoshida [INFJ],4.01,70.82,6.96,5.3,27.33%,81.08,82.28%,90.1751,Northern Tundra,169.2661,Balanced,6/4/2002,22 Tahun,Elite Spy
Caius Whitmore,ISTP,22,171,Modern,The Explorers,Dimensional Phase Shifting,Normal,Caius Whitmore [ISTP],137.25,34.43,29.93,64.92,62.35%,42.77,41.85%,55.8971,Southern Isles,310.342,Attacker,12/12/2002,22 Tahun,Tanker
Draven Velmont,ESTP,22,170,Modern,The Explorers,Living Canvas / Cartographer,Normal,Draven Velmont [ESTP],118.3,48.53,49.93,47.48,64.44%,102.74,54.94%,79.8027,Southern Isles,368.1738,Support,9/10/2002,22 Tahun,Brawler
Isla Kline,INTP,22,178,Modern,The Analysts,Covenant Bond / Healer & Diplomat,Tinggi,Isla Kline [INTP],101.44,96.0,91.86,89.51,33.88%,374.1,47.53%,128.5248,Northern Tundra,753.7241,Balanced,11/26/2002,22 Tahun,Brawler
Nami Vargas,ENFP,22,181,Fantasy,The Diplomats,Triage Field / Field Medic,Tinggi,Nami Vargas [ENFP],17.61,39.49,32.77,22.87,85.40%,98.99,64.90%,73.2145,Northern Tundra,213.233,Attacker,2/19/2002,22 Tahun,Tanker
Hugo Dawnforge,INFJ,22,175,Fantasy,The Diplomats,Verdant Wrath / Forest Herbalist,Tinggi,Hugo Dawnforge [INFJ],26.25,71.31,78.63,67.33,23.97%,262.9,53.73%,88.403,Eastern Sunrise,507.197,Balanced,1/2/2002,22 Tahun,Squad Inti
Wren Whitmore,ISFP,22,178,Modern,The Explorers,Fracture Surge,Tinggi,Wren Whitmore [ISFP],37.84,92.65,7.18,26.08,84.24%,373.25,43.78%,170.6984,Eastern Sunrise,538.2802,Attacker,6/15/2002,22 Tahun,Elite Spy
Felix Silva,INFP,22,179,Modern,The Diplomats,Runic Deconstruction / Scholar,Tinggi,Felix Silva [INFP],32.99,43.38,51.45,28.8,89.03%,385.34,60.08%,82.0012,Northern Tundra,543.4511,Support,4/22/2002,22 Tahun,Squad Inti
Seren Quill,ISFJ,23,182,Modern,The Sentinels,Fate Weave / Royal Advisor,Tinggi,Seren Quill [ISFJ],27.04,98.93,27.93,84.99,17.84%,6.89,40.71%,116.5791,Northern Tundra,246.3655,Balanced,3/20/2001,23 Tahun,Tactician
Bastian Dawnforge,INTP,21,185,Modern,The Analysts,Combat Escalation Law,Tinggi,Bastian Dawnforge [INTP],117.11,18.24,39.16,5.64,27.63%,72.7,60.84%,23.2797,Eastern Sunrise,253.7347,Support,1/31/2003,21 Tahun,Tanker
Fable Dunmore,ISFP,22,180,Fantasy,The Explorers,Damage Reflection Lattice,Tinggi,Fable Dunmore [ISFP],101.08,5.41,55.59,75.13,52.05%,94.93,52.15%,8.2259,Northern Tundra,333.182,Balanced,3/20/2002,22 Tahun,Squad Inti
Lyra Yamamoto,ENFP,23,166,Modern,The Diplomats,Transmutation Aura / Alchemist,Pendek,Lyra Yamamoto [ENFP],26.52,43.19,8.66,91.07,17.23%,342.45,50.90%,50.6316,Western Citadel,512.5713,Support,9/24/2001,23 Tahun,Tanker
Dara Ravenswood,ISTP,21,184,Modern,The Explorers,Warbrand Arsenal,Tinggi,Dara Ravenswood [ISTP],81.05,93.45,75.45,75.32,64.71%,317.37,44.89%,153.9215,Northern Tundra,643.736,Balanced,8/10/2003,21 Tahun,Reguler
Vessa Muller,ESFJ,21,176,Modern,The Sentinels,Essence Severance,Tinggi,Vessa Muller [ESFJ],114.31,29.82,2.62,39.13,89.04%,268.76,66.93%,56.3717,Southern Isles,456.1997,Attacker,5/9/2003,21 Tahun,Squad Inti
Zephyr Crestwood,ESTJ,21,171,Modern,The Sentinels,Verdant Wrath / Forest Herbalist,Normal,Zephyr Crestwood [ESTJ],143.55,34.99,67.67,21.76,29.98%,112.0,62.82%,45.48,Eastern Sunrise,380.898,Attacker,8/7/2003,21 Tahun,Tanker
Naoki Suzuki,ISTP,22,166,Fantasy,The Explorers,Probability Flux / Treasure Hunter,Pendek,Naoki Suzuki [ISTP],112.97,52.66,28.76,85.17,94.30%,6.69,73.90%,102.3184,Eastern Sunrise,287.932,Attacker,9/16/2002,22 Tahun,Ranger
Corwin Hartley,ESTP,23,166,Fantasy,The Explorers,Memory Palace / Librarian Assistant,Pendek,Corwin Hartley [ESTP],124.32,79.61,11.19,11.36,37.45%,352.02,62.76%,109.4239,Northern Tundra,579.5021,Support,11/16/2001,23 Tahun,Tactician
Miriam Hartley,ESFP,22,167,Modern,The Explorers,Heartstrike Overload,Pendek,Miriam Hartley [ESFP],49.25,69.29,3.45,95.21,77.19%,316.29,71.78%,122.775,Western Citadel,534.9797,Balanced,12/8/2002,22 Tahun,Tanker
Hugo Strider,INFJ,23,168,Fantasy,The Diplomats,Covenant Bond / Healer & Diplomat,Normal,Hugo Strider [INFJ],27.29,59.39,9.28,19.23,66.12%,175.34,49.42%,98.6587,Northern Tundra,291.6854,Balanced,4/27/2001,23 Tahun,Tactician
Torin Nakamura,ISFJ,21,167,Fantasy,The Sentinels,Archive of Blades / Guild Archivist,Pendek,Torin Nakamura [ISFJ],139.37,7.84,25.45,29.94,60.41%,80.49,72.92%,12.5761,Eastern Sunrise,284.4233,Attacker,10/31/2003,21 Tahun,Squad Inti
Nova Aldridge,ESFJ,21,174,Modern,The Sentinels,Transmutation Aura / Alchemist,Normal,Nova Aldridge [ESFJ],38.64,38.0,38.58,8.46,29.24%,206.42,63.39%,49.1112,Western Citadel,331.0263,Support,9/14/2003,21 Tahun,Tactician
Caspian Aldridge,INFJ,23,175,Fantasy,The Diplomats,Warbrand Arsenal,Tinggi,Caspian Aldridge [INFJ],28.94,8.49,53.75,39.45,30.19%,57.05,57.23%,11.0531,Western Citadel,188.5542,Balanced,2/7/2001,23 Tahun,Ranger
Kaito Ravenswood,INFJ,23,172,Fantasy,The Diplomats,Triage Field / Field Medic,Normal,Kaito Ravenswood [INFJ],2.51,32.21,32.78,27.69,52.53%,49.72,60.69%,49.1299,Northern Tundra,146.0422,Balanced,10/2/2001,23 Tahun,Ranger
Brant Hargrove,INTJ,22,176,Fantasy,The Analysts,Ruin Pulse Engine,Tinggi,Brant Hargrove [INTJ],70.01,85.44,74.08,47.79,35.91%,63.52,68.52%,116.1215,Eastern Sunrise,341.8843,Support,8/17/2002,22 Tahun,Tanker
Sylvie Upton,ENFP,21,178,Modern,The Diplomats,Verdant Wrath / Forest Herbalist,Tinggi,Sylvie Upton [ENFP],6.05,60.19,9.64,53.48,74.40%,87.43,61.38%,104.9714,Northern Tundra,218.1478,Attacker,3/23/2003,21 Tahun,Brawler
Rin Morven,ESTJ,21,164,Fantasy,The Sentinels,Essence Severance,Pendek,Rin Morven [ESTJ],35.14,23.36,89.78,72.45,11.91%,256.39,52.56%,26.1422,Western Citadel,477.7647,Attacker,3/15/2003,21 Tahun,Reguler
Seren Dunstan,ISFP,23,175,Modern,The Explorers,Adaptive Mutation,Tinggi,Seren Dunstan [ISFP],101.4,23.45,81.36,32.54,72.03%,1.01,59.43%,40.341,Western Citadel,241.0746,Attacker,4/18/2001,23 Tahun,Brawler
Piper Eld,ENFJ,23,171,Fantasy,The Diplomats,Soulfire Manifestation,Normal,Piper Eld [ENFJ],92.92,14.98,11.71,4.8,13.30%,141.51,70.95%,16.9723,Eastern Sunrise,266.7625,Support,12/3/2001,23 Tahun,Tactician
Emery Ashvale,ESFJ,23,169,Modern,The Sentinels,Moment moment of Truth / Oracle,Normal,Emery Ashvale [ESFJ],80.26,61.84,44.27,11.46,91.31%,202.38,60.81%,118.3061,Southern Isles,401.7312,Support,7/18/2001,23 Tahun,Tactician
Shaela Coldwater,ISFJ,23,173,Fantasy,The Sentinels,Memory Palace / Librarian Assistant,Normal,Shaela Coldwater [ISFJ],32.76,83.46,59.32,49.58,67.81%,75.6,64.40%,140.0542,Northern Tundra,302.0421,Support,5/27/2001,23 Tahun,Tactician
Theron Dunmore,ESTP,22,162,Modern,The Explorers,Memory Palace / Librarian Assistant,Pendek,Theron Dunmore [ESTP],52.31,45.31,22.48,59.39,44.53%,298.39,60.05%,65.4865,Southern Isles,478.9258,Attacker,4/14/2002,22 Tahun,Ranger
Lyra Lopez,ESFP,23,178,Fantasy,The Explorers,Adaptive Mutation,Tinggi,Lyra Lopez [ESFP],51.55,26.1,24.77,31.13,21.61%,37.16,42.32%,31.7402,Eastern Sunrise,171.3493,Balanced,4/8/2001,23 Tahun,Squad Inti
Leon Ito,ENTP,23,161,Fantasy,The Analysts,Dominion Mark,Pendek,Leon Ito [ENTP],109.17,1.31,3.98,43.67,43.40%,104.25,64.14%,1.8785,Southern Isles,263.4554,Support,4/5/2001,23 Tahun,Squad Inti
Aiko Vargas,ISTJ,23,162,Modern,The Sentinels,Combat Escalation Law,Pendek,Aiko Vargas [ISTJ],137.65,66.62,19.04,54.51,83.95%,386.96,72.16%,122.5475,Western Citadel,666.3411,Support,4/9/2001,23 Tahun,Elite Spy
Haruto Weston,ESTJ,21,166,Modern,The Sentinels,Memory Palace / Librarian Assistant,Pendek,Haruto Weston [ESTJ],46.96,46.23,81.0,35.51,80.93%,341.27,67.40%,83.6439,Eastern Sunrise,552.4533,Attacker,7/7/2003,21 Tahun,Squad Inti
Emery Coldwater,ENTP,21,174,Fantasy,The Analysts,Essence Severance,Normal,Emery Coldwater [ENTP],44.86,85.52,36.45,26.76,36.78%,115.83,53.31%,116.9743,Western Citadel,310.3209,Balanced,12/5/2003,21 Tahun,Elite Spy
Tomoe Ashford,ESTP,23,167,Modern,The Explorers,Covenant Bond / Healer & Diplomat,Pendek,Tomoe Ashford [ESTP],5.08,49.87,54.8,83.98,19.64%,87.8,54.22%,59.6645,Eastern Sunrise,282.2686,Support,4/20/2001,23 Tahun,Tanker
Lyra Chen,ISFJ,21,163,Modern,The Sentinels,Combat Escalation Law,Pendek,Lyra Chen [ISFJ],26.69,89.07,55.88,66.07,59.89%,3.29,78.75%,142.414,Eastern Sunrise,242.3864,Attacker,8/2/2003,21 Tahun,Squad Inti
Felix Fitzgerald,INTP,23,168,Fantasy,The Analysts,Emotional Vectoring,Normal,Felix Fitzgerald [INTP],10.65,53.56,63.96,41.14,88.78%,351.52,48.52%,101.1106,Southern Isles,522.203,Support,8/24/2001,23 Tahun,Tactician
Cassian Chen,INFP,23,170,Modern,The Diplomats,Dimensional Phase Shifting,Normal,Cassian Chen [INFP],75.37,56.27,11.37,36.11,94.39%,74.69,60.97%,109.3833,Eastern Sunrise,255.3636,Attacker,1/4/2001,23 Tahun,Elite Spy
Lena Declan,INFP,21,179,Fantasy,The Diplomats,Triage Field / Field Medic,Tinggi,Lena Declan [INFP],29.05,48.79,12.67,12.93,23.92%,264.5,78.47%,60.4606,Western Citadel,368.9639,Support,6/14/2003,21 Tahun,Elite Spy
Riku Vance,ISTJ,24,161,Modern,The Sentinels,Transmutation Aura / Alchemist,Pendek,Riku Vance [ISTJ],147.39,58.39,6.17,38.31,39.44%,124.5,57.28%,81.419,Northern Tundra,375.7272,Attacker,1/1/2001,24 Tahun,Elite Spy
Dara Nox,INFJ,21,185,Modern,The Diplomats,Heartstrike Overload,Tinggi,Dara Nox [INFJ],1.12,26.77,99.88,5.81,45.89%,70.77,42.96%,39.0548,Southern Isles,205.2385,Support,9/19/2003,21 Tahun,Reguler
Caspian Rossi,ISTP,22,176,Fantasy,The Explorers,Elemental Mastery,Tinggi,Caspian Rossi [ISTP],106.85,7.01,96.92,14.68,72.11%,254.87,40.33%,12.0649,Western Citadel,481.4544,Balanced,6/8/2002,22 Tahun,Tactician
Ryo Dawnforge,INTJ,23,185,Fantasy,The Analysts,Gravity Rend,Tinggi,Ryo Dawnforge [INTJ],112.07,87.86,89.82,85.17,98.61%,157.3,55.73%,174.4987,Eastern Sunrise,533.7634,Attacker,12/11/2001,23 Tahun,Squad Inti
Rin Nox,INFP,23,185,Modern,The Diplomats,Sensory Collapse Domain,Tinggi,Rin Nox [INFP],126.66,62.57,63.94,59.57,23.80%,370.78,53.58%,77.4617,Northern Tundra,684.2938,Balanced,8/24/2001,23 Tahun,Squad Inti
Draven Swiftwind,INFP,22,166,Fantasy,The Diplomats,Gravity Rend,Pendek,Draven Swiftwind [INFP],138.15,48.98,72.57,94.29,23.90%,52.41,53.63%,60.6862,Western Citadel,407.1753,Support,2/10/2002,22 Tahun,Brawler
Corwin Sinclair,ESTP,21,172,Modern,The Explorers,Absolute Command / General,Normal,Corwin Sinclair [ESTP],29.15,14.23,44.02,41.84,18.61%,229.29,55.76%,16.8782,Southern Isles,359.2737,Balanced,3/8/2003,21 Tahun,Brawler
Fable Thornton,ESFJ,21,179,Modern,The Sentinels,Fate Weave / Royal Advisor,Tinggi,Fable Thornton [ESFJ],138.72,90.73,42.49,50.97,37.65%,210.26,71.61%,124.8898,Eastern Sunrise,534.2626,Balanced,9/9/2003,21 Tahun,Reguler
Riku Hargrove,ISFJ,22,184,Modern,The Sentinels,Memory Palace / Librarian Assistant,Tinggi,Riku Hargrove [ISFJ],38.29,19.79,22.41,77.51,48.61%,296.95,82.63%,29.4099,Southern Isles,456.2624,Balanced,2/27/2002,22 Tahun,Brawler
Felix Flint,ENTP,22,173,Fantasy,The Analysts,Absolute Command / General,Normal,Felix Flint [ENTP],103.68,91.02,83.9,14.26,35.58%,10.03,70.35%,123.4049,Eastern Sunrise,303.9493,Support,5/3/2002,22 Tahun,Tanker
Petra Blackwood,INTP,22,172,Fantasy,The Analysts,Warbrand Arsenal,Normal,Petra Blackwood [INTP],111.41,9.16,84.98,53.57,30.60%,58.59,73.67%,11.963,Western Citadel,318.7527,Balanced,5/20/2002,22 Tahun,Reguler
